,IC,RankIC,RR
20250327,,,
20250328,,,
20250331,-0.1426779303500615,-0.25161442452137484,-0.03778371622040061
20250401,,,
20250402,,,
20250403,,,
20250407,0.03959358746996604,-0.029335149696277235,0.03715635101817731
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,-0.06278471668153819,-0.18645638520244906,-0.024398086819131987
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,-0.09867299314945945,-0.16051799312294035,-0.03143133224644996
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,-0.11392485069542597,-0.04216915175676039,-0.05416978946897787
20250429,,,
20250430,,,
20250506,-0.09981073761138547,-0.1837424108418159,-0.016887656845088594
20250507,,,
20250508,,,
20250509,,,
20250512,0.06601170998968847,-0.08311921260235634,0.03279165877417197
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,-0.1301480933324958,-0.20870528257140658,-0.04380530419695522
20250520,,,
20250521,,,
20250522,,,
20250523,,,
20250526,-0.07374364136236254,-0.1651224296474744,-0.02279818825944749
20250527,,,
20250528,,,
20250529,,,
20250530,,,
20250603,-0.014733738758562492,-0.04071185041491658,0.007728215586635934
20250604,,,
20250605,,,
20250606,,,
20250609,-0.07467359539495357,-0.10395254417822873,-0.020615577432616956
20250610,,,
20250611,,,
20250612,,,
20250613,,,
20250616,-0.07481862192549582,-0.24773908720134416,-0.0014499091457203898
20250617,,,
20250618,,,
20250619,,,
20250620,,,
20250623,0.03150894867104581,0.02170921612920088,0.010319477989480214
20250624,,,
20250625,,,
20250626,,,
20250627,,,
20250630,-0.09707228158610785,-0.16807663871142595,-0.047274104071654305
20250701,,,
20250702,,,
20250703,,,
20250704,,,
20250707,-0.1156921848395567,-0.14068703523444853,-0.04285134660175659
20250708,,,
20250709,,,
20250710,,,
20250711,,,
20250714,-0.1468865052153995,-0.16672124011326023,-0.031625309103010764
20250715,,,
20250716,,,
20250717,,,
20250718,,,
20250721,-0.07604192095768691,-0.16609798916453453,0.0009726306821354837
20250722,,,
20250723,,,
20250724,,,
20250725,,,
20250728,-0.09649747490551351,-0.24408280797672424,-0.007635600001286785
20250729,,,
20250730,,,
20250731,,,
20250801,,,
20250804,1.69407075396438e-05,-0.05465226301938681,-0.028502983855186945
20250805,,,
20250806,,,
20250807,,,
20250808,,,
20250811,0.15005376507449578,0.12852759245443943,0.049762288124602864
20250812,,,
20250813,,,
20250814,,,
20250815,,,
20250818,-0.06555899434096545,-0.08445674172065092,-0.026665225948618004
20250819,,,
20250820,,,
20250821,,,
20250822,,,
20250825,-0.004733726022921398,-0.06484545808438712,-0.010524533034869037
20250826,,,
20250827,,,
20250828,,,
20250829,,,
20250901,-0.24310841468966218,-0.28554220911023553,-0.06685825030224928
20250902,,,
20250903,,,
20250904,,,
20250905,,,
20250908,0.19377027700980035,0.19964530922046952,0.06139269096265987
20250909,,,
20250910,,,
20250911,,,
20250912,,,
20250915,-0.015186757983157188,-0.03868448398272365,-0.013749891039287197
20250916,,,
20250917,,,
20250918,,,
20250919,,,
20250922,-0.13576458344330508,-0.1813076900728333,-0.0392711424097571
20250923,,,
20250924,,,
20250925,,,
20250926,,,
20250929,0.10248250013405966,0.14070463589232318,0.02496676071738188
20250930,,,
20251009,-0.16639208511542158,-0.1832777835389778,-0.03243279502304673
20251010,,,
20251013,-0.13308032846152465,-0.29445989945669143,-0.051693169060581134
20251014,,,
20251015,,,
20251016,,,
20251017,,,
20251020,-0.0848192244600726,-0.06305567881938628,-0.011663442477884029
20251021,,,
20251022,,,
20251023,,,
20251024,,,
20251027,0.026427431836906712,-0.05707840524619555,0.030570229811857346
20251028,,,
20251029,,,
20251030,,,
20251031,,,
20251103,-0.0017325297824054091,-0.05439694942006942,0.036617594846900095
20251104,,,
20251105,,,
20251106,,,
20251107,,,
20251110,0.11600965843660975,-0.0600127767160089,0.03183290674444174
20251111,,,
20251112,,,
20251113,,,
20251114,,,
20251117,-0.3511560649425617,-0.38604767876028406,-0.1265744661537737
20251118,,,
20251119,,,
20251120,,,
20251121,,,
20251124,0.1615913526225208,0.16118255266617001,0.04625936886424457
20251125,,,
20251126,,,
20251127,,,
20251128,,,
20251201,0.099853409319878,0.06475094465379108,0.027345866084144847
20251202,,,
20251203,,,
20251204,,,
20251205,,,
20251208,-0.05748433162945061,-0.06590981188503331,-0.012342905146409244
20251209,,,
20251210,,,
20251211,,,
20251212,,,
20251215,-0.16489739091638236,-0.1693850534095172,-0.034892586459593665
20251216,,,
20251217,,,
20251218,,,
20251219,,,
20251222,0.05473868698866168,0.027948651647550702,0.015851195078952343
20251223,,,
20251224,,,
20251225,,,
20251226,,,
20251229,-0.11008864417833822,-0.19110820945753101,-0.023705191161744507
20251230,,,
20251231,,,
20260105,0.2280608090265269,0.2656296383950239,0.04062679737567054
20260106,,,
20260107,,,
20260108,,,
20260109,,,
20260112,-0.3375079098572317,-0.32859658983713225,-0.10069210455130605
20260113,,,
20260114,,,
20260115,,,
20260116,,,
20260119,-0.0013474528485848346,-0.09812313970678835,-0.025218734864923605
20260120,,,
20260121,,,
20260122,,,
20260123,,,
20260126,-0.07287359839718253,-0.21856069098042163,-0.011144320625077725
20260127,,,
20260128,,,
20260129,,,
20260130,,,
20260202,0.09412796908153617,0.07451401809288645,0.03058563436908188
20260203,,,
20260204,,,
20260205,,,
20260206,,,
20260209,-0.0763499531525767,-0.00029611039173508614,-0.024098407422717218
20260210,,,
20260211,,,
20260212,,,
20260213,,,
20260224,0.03548767294678671,0.13773580052219625,-0.006241756677154455
20260225,,,
20260226,,,
20260227,,,
20260302,-0.001483716079785581,-0.07761698752431927,0.011699327510841523
20260303,,,
20260304,,,
20260305,,,
20260306,,,
20260309,-0.07097277434521115,-0.1405133534134122,-0.00820463068170505
20260310,,,
20260311,,,
20260312,,,
20260313,,,
20260316,0.07455932534032424,-0.08246677087506153,0.00013935224602848462
20260317,,,
20260318,,,
20260319,,,
20260320,,,
20260323,-0.044741189227369436,-0.06802772549682981,-0.004805584844929024
20260324,,,
20260325,,,
20260326,,,
20260327,,,
20260330,-0.24197242699691732,-0.30808266422232666,-0.08079034435505095
20260331,,,
20260401,,,
20260402,,,
20260403,,,
20260407,-0.05168773971246175,-0.020574108172861896,-0.0182723624300353
20260408,,,
20260409,,,
20260410,,,
20260413,0.04677234417959164,0.022312515647430725,0.0037946126793757147
20260414,,,
20260415,,,
20260416,,,
20260417,,,
20260420,,,
20260421,,,
20260422,,,
20260423,,,
20260424,,,
